,Fold,Hidden Layer Size,Max Iteration,N_Estimator,Accuracy,Recall,Precision,F1-Score
0,0,31,250,11,0.9230769230769231,0.9545454545454546,0.9130434782608695,0.9333333333333333
1,1,31,250,11,0.8974358974358975,0.875,0.9545454545454546,0.9130434782608695
2,2,31,250,11,0.8974358974358975,0.8888888888888888,0.8888888888888888,0.8888888888888888
3,3,31,250,11,0.8974358974358975,0.9444444444444444,0.85,0.8947368421052632
4,4,31,250,11,0.8717948717948718,0.8571428571428571,0.9,0.8780487804878049
5,5,31,250,11,0.9743589743589743,1.0,0.9444444444444444,0.9714285714285714
6,6,31,250,11,0.8974358974358975,0.95,0.8636363636363636,0.9047619047619048
7,7,31,250,11,0.9743589743589743,1.0,0.9545454545454546,0.9767441860465116
8,8,31,250,11,0.9210526315789473,0.875,0.9333333333333333,0.9032258064516129
9,9,31,250,11,0.9210526315789473,0.9411764705882353,0.8888888888888888,0.9142857142857143
