,Fold,Hidden Layer Size,Max Iteration,N_Estimator,Accuracy,Recall,Precision,F1-Score
0,0,9,250,11,0.9230769230769231,0.9545454545454546,0.9130434782608695,0.9333333333333333
1,1,9,250,11,0.9230769230769231,0.9166666666666666,0.9565217391304348,0.9361702127659575
2,2,9,250,11,0.8974358974358975,0.8888888888888888,0.8888888888888888,0.8888888888888888
3,3,9,250,11,0.9230769230769231,0.9444444444444444,0.8947368421052632,0.918918918918919
4,4,9,250,11,0.9230769230769231,0.9523809523809523,0.9090909090909091,0.9302325581395349
5,5,9,250,11,0.9743589743589743,0.9411764705882353,1.0,0.9696969696969697
6,6,9,250,11,0.8974358974358975,0.95,0.8636363636363636,0.9047619047619048
7,7,9,250,11,0.9230769230769231,0.9523809523809523,0.9090909090909091,0.9302325581395349
8,8,9,250,11,0.8947368421052632,0.8125,0.9285714285714286,0.8666666666666667
9,9,9,250,11,0.9210526315789473,0.9411764705882353,0.8888888888888888,0.9142857142857143
