,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__activation,param_estimator__hidden_layer_sizes,param_estimator__learning_rate,param_estimator__max_iter,param_estimator__solver,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,4.982378673553467,1.251379497560826,0.009276413917541504,0.00880321884753404,relu,20,constant,280,sgd,21,"{'estimator__activation': 'relu', 'estimator__hidden_layer_sizes': 20, 'estimator__learning_rate': 'constant', 'estimator__max_iter': 280, 'estimator__solver': 'sgd', 'n_estimators': 21}",0.725,0.825,0.675,0.75,0.6923076923076923,0.6410256410256411,0.6410256410256411,0.6666666666666666,0.6923076923076923,0.6666666666666666,0.6975,0.05348739613251106,266
1,3.942133164405823,0.3376884558616876,0.005844020843505859,0.0014241536045003498,relu,20,constant,280,sgd,20,"{'estimator__activation': 'relu', 'estimator__hidden_layer_sizes': 20, 'estimator__learning_rate': 'constant', 'estimator__max_iter': 280, 'estimator__solver': 'sgd', 'n_estimators': 20}",0.7,0.8,0.675,0.725,0.717948717948718,0.6153846153846154,0.6410256410256411,0.6923076923076923,0.6923076923076923,0.6410256410256411,0.6900000000000001,0.04980583602124501,330
2,3.787984561920166,0.44301404787419324,0.005912113189697266,0.0013000753797292913,relu,20,constant,280,sgd,19,"{'estimator__activation': 'relu', 'estimator__hidden_layer_sizes': 20, 'estimator__learning_rate': 'constant', 'estimator__max_iter': 280, 'estimator__solver': 'sgd', 'n_estimators': 19}",0.7,0.8,0.675,0.675,0.717948717948718,0.6666666666666666,0.6410256410256411,0.6666666666666666,0.6923076923076923,0.6410256410256411,0.6875641025641027,0.04388961708464713,337
3,3.585862922668457,0.3811765518742784,0.005284428596496582,0.0011470779219070037,relu,20,constant,280,sgd,18,"{'estimator__activation': 'relu', 'estimator__hidden_layer_sizes': 20, 'estimator__learning_rate': 'constant', 'estimator__max_iter': 280, 'estimator__solver': 'sgd', 'n_estimators': 18}",0.725,0.825,0.65,0.725,0.717948717948718,0.6666666666666666,0.6923076923076923,0.6923076923076923,0.6410256410256411,0.6923076923076923,0.7027564102564103,0.0493839846725973,157
4,3.391063666343689,0.38355135572606425,0.005577516555786133,0.0015034884366075048,relu,20,constant,280,sgd,17,"{'estimator__activation': 'relu', 'estimator__hidden_layer_sizes': 20, 'estimator__learning_rate': 'constant', 'estimator__max_iter': 280, 'estimator__solver': 'sgd', 'n_estimators': 17}",0.725,0.75,0.675,0.725,0.6923076923076923,0.6923076923076923,0.6410256410256411,0.6666666666666666,0.6923076923076923,0.6410256410256411,0.6900641025641027,0.03410623895758206,325
5,3.180315041542053,0.3986347513271647,0.004576587677001953,0.0005266361737191763,relu,20,constant,280,sgd,16,"{'estimator__activation': 'relu', 'estimator__hidden_layer_sizes': 20, 'estimator__learning_rate': 'constant', 'estimator__max_iter': 280, 'estimator__solver': 'sgd', 'n_estimators': 16}",0.725,0.75,0.675,0.75,0.6410256410256411,0.6410256410256411,0.6410256410256411,0.6923076923076923,0.6923076923076923,0.6410256410256411,0.6848717948717951,0.042416526681238235,350
6,3.0187886476516725,0.4160269015481076,0.0044077873229980465,0.00035819952416809545,relu,20,constant,280,sgd,15,"{'estimator__activation': 'relu', 'estimator__hidden_layer_sizes': 20, 'estimator__learning_rate': 'constant', 'estimator__max_iter': 280, 'estimator__solver': 'sgd', 'n_estimators': 15}",0.675,0.725,0.675,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6825000000000001,0.028247418761130495,351
7,2.7569022178649902,0.32204848054426605,0.00481412410736084,0.000958253674883818,relu,20,constant,280,sgd,14,"{'estimator__activation': 'relu', 'estimator__hidden_layer_sizes': 20, 'estimator__learning_rate': 'constant', 'estimator__max_iter': 280, 'estimator__solver': 'sgd', 'n_estimators': 14}",0.725,0.825,0.65,0.75,0.717948717948718,0.6666666666666666,0.6410256410256411,0.6666666666666666,0.6410256410256411,0.6410256410256411,0.6924358974358975,0.05801391839165138,316
8,2.5736512184143066,0.338411131426143,0.004321670532226563,0.0009796921782702522,relu,20,constant,280,sgd,13,"{'estimator__activation': 'relu', 'estimator__hidden_layer_sizes': 20, 'estimator__learning_rate': 'constant', 'estimator__max_iter': 280, 'estimator__solver': 'sgd', 'n_estimators': 13}",0.7,0.75,0.675,0.675,0.717948717948718,0.6666666666666666,0.6410256410256411,0.6666666666666666,0.6410256410256411,0.6666666666666666,0.68,0.03218919048719471,356
9,2.42435359954834,0.42763966148757904,0.004319238662719727,0.0005130839147922841,relu,20,constant,280,sgd,12,"{'estimator__activation': 'relu', 'estimator__hidden_layer_sizes': 20, 'estimator__learning_rate': 'constant', 'estimator__max_iter': 280, 'estimator__solver': 'sgd', 'n_estimators': 12}",0.725,0.75,0.675,0.7,0.717948717948718,0.6923076923076923,0.6410256410256411,0.6923076923076923,0.6923076923076923,0.6666666666666666,0.6952564102564104,0.029349175388577443,269
10,2.2083879709243774,0.27704480769015916,0.004164385795593262,0.0006115140503415432,relu,20,constant,280,sgd,11,"{'estimator__activation': 'relu', 'estimator__hidden_layer_sizes': 20, 'estimator__learning_rate': 'constant', 'estimator__max_iter': 280, 'estimator__solver': 'sgd', 'n_estimators': 11}",0.725,0.725,0.725,0.7,0.717948717948718,0.6666666666666666,0.6410256410256411,0.6923076923076923,0.6410256410256411,0.6410256410256411,0.6875000000000001,0.03498408814597934,341
