,Fold,Hidden Layer Size,Max Iteration,N_Estimator,Accuracy,Recall,Precision,F1-Score
0,0,25,500,10,1.0,1.0,1.0,1.0
1,1,25,500,10,0.8974358974358975,0.9130434782608695,0.9130434782608695,0.9130434782608695
2,2,25,500,10,0.8974358974358975,0.8928571428571429,0.9615384615384616,0.9259259259259259
3,3,25,500,10,0.9487179487179487,0.9473684210526315,0.9473684210526315,0.9473684210526315
4,4,25,500,10,0.8717948717948718,0.8620689655172413,0.9615384615384616,0.9090909090909091
5,5,25,500,10,0.9487179487179487,0.92,1.0,0.9583333333333334
6,6,25,500,10,0.8974358974358975,0.9090909090909091,0.9090909090909091,0.9090909090909091
7,7,25,500,10,0.9743589743589743,1.0,0.9583333333333334,0.9787234042553191
8,8,25,500,10,1.0,1.0,1.0,1.0
9,9,25,500,10,1.0,0.0,0.0,0.0
