,Fold,Hidden Layer Size,Max Iteration,N_Estimator,Accuracy,Recall,Precision,F1-Score
0,0,25,50,8,0.9230769230769231,0.9545454545454546,0.9130434782608695,0.9333333333333333
1,1,25,50,8,0.8974358974358975,0.875,0.9545454545454546,0.9130434782608695
2,2,25,50,8,0.8974358974358975,0.8333333333333334,0.9375,0.8823529411764706
3,3,25,50,8,0.9743589743589743,0.9444444444444444,1.0,0.9714285714285714
4,4,25,50,8,0.8974358974358975,0.9047619047619048,0.9047619047619048,0.9047619047619048
5,5,25,50,8,0.9487179487179487,0.8823529411764706,1.0,0.9375
6,6,25,50,8,0.8974358974358975,0.95,0.8636363636363636,0.9047619047619048
7,7,25,50,8,0.8461538461538461,0.7619047619047619,0.9411764705882353,0.8421052631578947
8,8,25,50,8,0.8947368421052632,0.8125,0.9285714285714286,0.8666666666666667
9,9,25,50,8,0.9473684210526315,0.9411764705882353,0.9411764705882353,0.9411764705882353
