,Fold,Hidden Layer Size,Max Iteration,N_Estimator,Accuracy,Recall,Precision,F1-Score
0,0,9,250,10,1.0,1.0,1.0,1.0
1,1,9,250,10,0.8717948717948718,0.9130434782608695,0.875,0.8936170212765957
2,2,9,250,10,0.8974358974358975,0.8928571428571429,0.9615384615384616,0.9259259259259259
3,3,9,250,10,0.8974358974358975,0.9473684210526315,0.8571428571428571,0.9
4,4,9,250,10,0.8717948717948718,0.8620689655172413,0.9615384615384616,0.9090909090909091
5,5,9,250,10,0.9487179487179487,0.92,1.0,0.9583333333333334
6,6,9,250,10,0.8461538461538461,0.8636363636363636,0.8636363636363636,0.8636363636363636
7,7,9,250,10,0.9487179487179487,0.9565217391304348,0.9565217391304348,0.9565217391304348
8,8,9,250,10,1.0,1.0,1.0,1.0
9,9,9,250,10,1.0,0.0,0.0,0.0
