,Fold,Hidden Layer Size,Max Iteration,N_Estimator,Accuracy,Recall,Precision,F1-Score
0,0,9,250,8,0.9487179487179487,0.9583333333333334,0.9583333333333334,0.9583333333333334
1,1,9,250,8,0.8717948717948718,0.8695652173913043,0.9090909090909091,0.8888888888888888
2,2,9,250,8,0.8974358974358975,0.8928571428571429,0.9615384615384616,0.9259259259259259
3,3,9,250,8,0.9487179487179487,1.0,0.9047619047619048,0.95
4,4,9,250,8,0.8461538461538461,0.8275862068965517,0.96,0.8888888888888888
5,5,9,250,8,0.9230769230769231,0.88,1.0,0.9361702127659575
6,6,9,250,8,0.8717948717948718,0.9090909090909091,0.8695652173913043,0.8888888888888888
7,7,9,250,8,0.9487179487179487,0.9565217391304348,0.9565217391304348,0.9565217391304348
8,8,9,250,8,1.0,1.0,1.0,1.0
9,9,9,250,8,0.9473684210526315,0.0,0.0,0.0
