,Fold,Hidden Layer Size,Max Iteration,N_Estimator,Accuracy,Recall,Precision,F1-Score
0,0,25,250,11,0.9743589743589743,0.9583333333333334,1.0,0.9787234042553191
1,1,25,250,11,0.9743589743589743,1.0,0.9583333333333334,0.9787234042553191
2,2,25,250,11,0.9487179487179487,0.9642857142857143,0.9642857142857143,0.9642857142857143
3,3,25,250,11,1.0,1.0,1.0,1.0
4,4,25,250,11,1.0,1.0,1.0,1.0
5,5,25,250,11,1.0,1.0,1.0,1.0
6,6,25,250,11,1.0,1.0,1.0,1.0
7,7,25,250,11,1.0,1.0,1.0,1.0
8,8,25,250,11,1.0,1.0,1.0,1.0
9,9,25,250,11,1.0,0.0,0.0,0.0
