,Fold,Hidden Layer Size,Max Iteration,N_Estimator,Accuracy,Recall,Precision,F1-Score
0,0,9,500,11,0.9743589743589743,1.0,0.96,0.9795918367346939
1,1,9,500,11,0.8717948717948718,0.8695652173913043,0.9090909090909091,0.8888888888888888
2,2,9,500,11,0.8974358974358975,0.8928571428571429,0.9615384615384616,0.9259259259259259
3,3,9,500,11,0.9487179487179487,1.0,0.9047619047619048,0.95
4,4,9,500,11,0.8974358974358975,0.896551724137931,0.9629629629629629,0.9285714285714286
5,5,9,500,11,0.9743589743589743,0.96,1.0,0.9795918367346939
6,6,9,500,11,0.9230769230769231,0.9090909090909091,0.9523809523809523,0.9302325581395349
7,7,9,500,11,0.9487179487179487,0.9565217391304348,0.9565217391304348,0.9565217391304348
8,8,9,500,11,1.0,1.0,1.0,1.0
9,9,9,500,11,1.0,0.0,0.0,0.0
