,Fold,Hidden Layer Size,Max Iteration,N_Estimator,Accuracy,Recall,Precision,F1-Score
0,0,9,500,8,0.9487179487179487,1.0,0.9230769230769231,0.96
1,1,9,500,8,0.9743589743589743,0.9565217391304348,1.0,0.9777777777777777
2,2,9,500,8,0.9487179487179487,0.9285714285714286,1.0,0.9629629629629629
3,3,9,500,8,0.9743589743589743,0.9473684210526315,1.0,0.972972972972973
4,4,9,500,8,0.9743589743589743,0.9655172413793104,1.0,0.9824561403508771
5,5,9,500,8,0.9743589743589743,0.96,1.0,0.9795918367346939
6,6,9,500,8,1.0,1.0,1.0,1.0
7,7,9,500,8,0.9743589743589743,0.9565217391304348,1.0,0.9777777777777777
8,8,9,500,8,0.9736842105263158,1.0,0.5,0.6666666666666666
9,9,9,500,8,1.0,0.0,0.0,0.0
