,Fold,Hidden Layer Size,Max Iteration,N_Estimator,Accuracy,Recall,Precision,F1-Score
0,0,25,500,11,1.0,1.0,1.0,1.0
1,1,25,500,11,0.8974358974358975,0.9130434782608695,0.9130434782608695,0.9130434782608695
2,2,25,500,11,0.9230769230769231,0.8928571428571429,1.0,0.9433962264150944
3,3,25,500,11,0.9487179487179487,0.9473684210526315,0.9473684210526315,0.9473684210526315
4,4,25,500,11,0.8974358974358975,0.896551724137931,0.9629629629629629,0.9285714285714286
5,5,25,500,11,0.9487179487179487,0.92,1.0,0.9583333333333334
6,6,25,500,11,0.8461538461538461,0.8636363636363636,0.8636363636363636,0.8636363636363636
7,7,25,500,11,0.9743589743589743,0.9565217391304348,1.0,0.9777777777777777
8,8,25,500,11,1.0,1.0,1.0,1.0
9,9,25,500,11,0.9736842105263158,0.0,0.0,0.0
