,Fold,Hidden Layer Size,Max Iteration,N_Estimator,Accuracy,Recall,Precision,F1-Score
0,0,25,50,10,0.9487179487179487,0.9583333333333334,0.9583333333333334,0.9583333333333334
1,1,25,50,10,0.8974358974358975,0.9565217391304348,0.88,0.9166666666666666
2,2,25,50,10,0.8974358974358975,0.8928571428571429,0.9615384615384616,0.9259259259259259
3,3,25,50,10,0.9230769230769231,0.9473684210526315,0.9,0.9230769230769231
4,4,25,50,10,0.9230769230769231,0.896551724137931,1.0,0.9454545454545454
5,5,25,50,10,0.9487179487179487,0.92,1.0,0.9583333333333334
6,6,25,50,10,0.8717948717948718,0.8636363636363636,0.9047619047619048,0.8837209302325582
7,7,25,50,10,0.9230769230769231,0.9130434782608695,0.9545454545454546,0.9333333333333333
8,8,25,50,10,1.0,1.0,1.0,1.0
9,9,25,50,10,0.9473684210526315,0.0,0.0,0.0
