,Fold,Hidden Layer Size,Max Iteration,N_Estimator,Accuracy,Recall,Precision,F1-Score
0,0,9,500,10,0.9743589743589743,1.0,0.96,0.9795918367346939
1,1,9,500,10,0.9487179487179487,0.9130434782608695,1.0,0.9545454545454546
2,2,9,500,10,0.8717948717948718,0.8214285714285714,1.0,0.9019607843137255
3,3,9,500,10,0.9487179487179487,0.9473684210526315,0.9473684210526315,0.9473684210526315
4,4,9,500,10,0.8974358974358975,0.896551724137931,0.9629629629629629,0.9285714285714286
5,5,9,500,10,0.9487179487179487,0.92,1.0,0.9583333333333334
6,6,9,500,10,0.8717948717948718,0.9090909090909091,0.8695652173913043,0.8888888888888888
7,7,9,500,10,0.9487179487179487,0.9565217391304348,0.9565217391304348,0.9565217391304348
8,8,9,500,10,1.0,1.0,1.0,1.0
9,9,9,500,10,1.0,0.0,0.0,0.0
