,Fold,Hidden Layer Size,Max Iteration,N_Estimator,Accuracy,Recall,Precision,F1-Score
0,0,9,50,10,0.9487179487179487,1.0,0.9230769230769231,0.96
1,1,9,50,10,0.9487179487179487,0.9565217391304348,0.9565217391304348,0.9565217391304348
2,2,9,50,10,0.8974358974358975,0.8928571428571429,0.9615384615384616,0.9259259259259259
3,3,9,50,10,0.8974358974358975,0.8421052631578947,0.9411764705882353,0.8888888888888888
4,4,9,50,10,0.8974358974358975,0.896551724137931,0.9629629629629629,0.9285714285714286
5,5,9,50,10,0.9487179487179487,0.92,1.0,0.9583333333333334
6,6,9,50,10,0.8974358974358975,0.9545454545454546,0.875,0.9130434782608695
7,7,9,50,10,0.9487179487179487,0.9565217391304348,0.9565217391304348,0.9565217391304348
8,8,9,50,10,1.0,1.0,1.0,1.0
9,9,9,50,10,0.9736842105263158,0.0,0.0,0.0
