,Fold,Hidden Layer Size,Max Iteration,N_Estimator,Accuracy,Recall,Precision,F1-Score
0,0,25,500,8,1.0,1.0,1.0,1.0
1,1,25,500,8,0.9230769230769231,0.9130434782608695,0.9545454545454546,0.9333333333333333
2,2,25,500,8,0.8717948717948718,0.8571428571428571,0.96,0.9056603773584906
3,3,25,500,8,0.9487179487179487,0.9473684210526315,0.9473684210526315,0.9473684210526315
4,4,25,500,8,0.8717948717948718,0.8620689655172413,0.9615384615384616,0.9090909090909091
5,5,25,500,8,0.9487179487179487,0.92,1.0,0.9583333333333334
6,6,25,500,8,0.9230769230769231,0.9545454545454546,0.9130434782608695,0.9333333333333333
7,7,25,500,8,0.9487179487179487,0.9565217391304348,0.9565217391304348,0.9565217391304348
8,8,25,500,8,0.9736842105263158,1.0,0.5,0.6666666666666666
9,9,25,500,8,1.0,0.0,0.0,0.0
