,Fold,Hidden Layer Size,Max Iteration,N_Estimator,Accuracy,Recall,Precision,F1-Score
0,0,9,50,8,0.9487179487179487,0.9166666666666666,1.0,0.9565217391304348
1,1,9,50,8,0.8717948717948718,0.9565217391304348,0.8461538461538461,0.8979591836734694
2,2,9,50,8,0.9230769230769231,0.9285714285714286,0.9629629629629629,0.9454545454545454
3,3,9,50,8,0.9487179487179487,1.0,0.9047619047619048,0.95
4,4,9,50,8,0.8205128205128205,0.7931034482758621,0.9583333333333334,0.8679245283018868
5,5,9,50,8,0.9743589743589743,0.96,1.0,0.9795918367346939
6,6,9,50,8,0.8974358974358975,0.9545454545454546,0.875,0.9130434782608695
7,7,9,50,8,0.9487179487179487,0.9565217391304348,0.9565217391304348,0.9565217391304348
8,8,9,50,8,1.0,1.0,1.0,1.0
9,9,9,50,8,1.0,0.0,0.0,0.0
