,Fold,Hidden Layer Size,Max Iteration,N_Estimator,Accuracy,Recall,Precision,F1-Score
0,0,9,250,11,0.9743589743589743,1.0,0.96,0.9795918367346939
1,1,9,250,11,0.9230769230769231,0.9130434782608695,0.9545454545454546,0.9333333333333333
2,2,9,250,11,0.8717948717948718,0.8571428571428571,0.96,0.9056603773584906
3,3,9,250,11,0.8717948717948718,0.8947368421052632,0.85,0.8717948717948718
4,4,9,250,11,0.8974358974358975,0.896551724137931,0.9629629629629629,0.9285714285714286
5,5,9,250,11,0.9487179487179487,0.92,1.0,0.9583333333333334
6,6,9,250,11,0.9230769230769231,0.9090909090909091,0.9523809523809523,0.9302325581395349
7,7,9,250,11,0.9487179487179487,0.9565217391304348,0.9565217391304348,0.9565217391304348
8,8,9,250,11,0.9736842105263158,1.0,0.5,0.6666666666666666
9,9,9,250,11,1.0,0.0,0.0,0.0
