,Num Features,Features Used,Mean Accuracy,Std Accuracy
0,16,"['5', '9', '6', '4', '7', '2', '3', '10', '1', '8', 'Class', 'Smartphone-usage Duration', 'Social Media Usage', 'Age', 'The Most Frequent Access', 'Gender']",0.8730769230769232,0.05424380033775458
1,15,"['5', '9', '6', '4', '7', '2', '3', '10', '1', '8', 'Class', 'Smartphone-usage Duration', 'Social Media Usage', 'Age', 'The Most Frequent Access']",0.8805128205128205,0.0581323672630222
2,14,"['5', '9', '6', '4', '7', '2', '3', '10', '1', '8', 'Class', 'Smartphone-usage Duration', 'Social Media Usage', 'Age']",0.8705769230769231,0.06006273429741651
3,13,"['5', '9', '6', '4', '7', '2', '3', '10', '1', '8', 'Class', 'Smartphone-usage Duration', 'Social Media Usage']",0.865320512820513,0.06887399165024678
4,12,"['5', '9', '6', '4', '7', '2', '3', '10', '1', '8', 'Class', 'Smartphone-usage Duration']",0.8298717948717951,0.0441025641025641
5,11,"['5', '9', '6', '4', '7', '2', '3', '10', '1', '8', 'Class']",0.839871794871795,0.05140114376683773
6,10,"['5', '9', '6', '4', '7', '2', '3', '10', '1', '8']",0.8246794871794872,0.04524864646124371
7,9,"['5', '9', '6', '4', '7', '2', '3', '10', '1']",0.839871794871795,0.046001171982897715
8,8,"['5', '9', '6', '4', '7', '2', '3', '10']",0.8093589743589744,0.06437072116723368
9,7,"['5', '9', '6', '4', '7', '2', '3']",0.8323076923076924,0.06158798754942316
10,6,"['5', '9', '6', '4', '7', '2']",0.8349358974358975,0.06371565929952934
11,5,"['5', '9', '6', '4', '7']",0.8275641025641025,0.0666654339136517
12,4,"['5', '9', '6', '4']",0.8198076923076923,0.05263085973504237
13,3,"['5', '9', '6']",0.8144871794871795,0.06704233406000283
14,2,"['5', '9']",0.7407051282051282,0.03804718038920499
15,1,['5'],0.6776923076923078,0.022168368340906207
