,Feature,MI Score
11,6,0.18755008033416698
10,5,0.17135960066624856
9,4,0.13004104733795052
12,7,0.12991974371376958
14,9,0.12328426872926102
15,10,0.07289658477016259
6,1,0.052934961975234396
13,8,0.04994871639876841
7,2,0.04777739198682185
4,Social Media Usage,0.03224453337547928
5,The Most Frequent Access,0.032204071105150334
3,Smartphone-usage Duration,0.02759907430770725
8,3,0.02527716453184392
1,Age,0.0
2,Class,0.0
0,Gender,0.0
