NO,GENDER ,1,2,3,4,5,6,7,8,9,10,TOTAL ,RESULT
226,P,4,2,2,4,3,2,2,4,3,4,30,0
227,P,5,3,3,3,3,5,2,2,5,6,37,1
228,P,2,4,2,6,3,2,2,3,3,3,30,0
229,L,4,3,2,4,4,4,5,4,5,5,40,1
230,L,4,5,6,3,4,5,4,5,5,6,47,1
231,P,4,3,2,5,4,3,3,4,3,3,34,1
232,P,3,3,4,1,1,1,1,3,4,4,25,0
233,P,3,3,2,4,4,3,3,3,4,4,33,1
234,P,3,5,2,4,5,4,3,2,5,6,39,1
235,P,5,6,5,4,3,4,3,5,6,6,47,1
236,L,4,5,2,5,2,2,2,3,4,5,34,1
237,L,3,2,2,4,1,1,1,1,2,1,18,0
238,P,3,3,3,3,3,3,3,2,1,2,26,0
239,L,6,3,4,3,6,5,3,5,5,5,45,1
240,P,5,5,4,5,3,2,2,5,3,2,36,1
241,P,4,2,2,5,4,5,5,2,4,2,35,1
242,L,2,1,3,1,2,2,1,4,3,4,23,0
243,P,5,4,2,5,3,2,3,2,3,5,34,1
244,P,4,4,3,5,5,4,5,4,5,5,44,1
245,P,1,2,5,5,6,5,4,5,6,3,42,1
246,L,2,6,2,4,5,4,2,3,2,2,32,1
247,P,2,2,5,5,5,4,4,4,4,1,36,1
248,P,4,4,2,6,2,1,5,1,6,1,32,0
249,L,1,3,2,4,4,3,4,2,5,4,32,1
250,P,3,4,2,1,3,2,3,4,5,4,31,0
251,P,3,3,3,2,3,2,2,2,2,3,25,0
252,L,2,2,4,6,6,4,3,1,1,3,32,1
253,P,4,3,4,3,3,2,2,4,4,2,31,0
254,P,4,1,4,1,1,1,1,2,4,2,21,0
255,L,4,4,6,6,5,5,4,3,6,5,48,1
256,L,4,5,3,3,4,5,3,2,3,3,35,1
257,P,4,3,1,1,4,1,1,3,6,4,28,0
258,L,4,4,4,4,5,3,4,3,5,6,42,1
259,P,5,4,3,4,3,4,2,3,5,5,38,1
260,P,3,4,1,4,5,4,2,3,4,5,35,1
261,P,3,3,3,3,4,3,3,4,5,4,35,1
262,P,6,3,3,6,5,3,5,5,6,5,47,1
263,L,3,3,3,2,3,5,4,3,3,5,34,1
264,P,3,4,4,1,6,3,4,5,5,3,38,1
265,P,2,2,3,4,4,4,2,3,2,4,30,0
266,L,6,3,1,5,1,1,5,3,6,1,32,1
267,P,5,5,4,5,6,6,6,6,5,6,54,1
268,L,3,1,4,3,3,4,5,5,5,3,36,1
269,L,3,3,3,2,1,4,3,3,3,3,28,0
270,L,3,3,4,4,1,1,5,2,2,4,29,0
271,P,5,4,5,2,3,3,3,4,4,3,36,1
272,P,4,5,4,4,2,2,3,2,4,3,33,1
273,L,5,6,3,5,1,2,3,2,5,6,38,1
274,P,3,1,4,5,4,4,2,3,4,5,35,1
275,P,5,4,4,2,2,2,3,2,2,3,29,0
276,P,4,3,2,5,3,1,3,2,3,5,31,0
277,P,4,3,2,3,2,2,2,4,4,3,29,0
278,P,2,3,1,5,3,1,1,1,4,4,25,0
279,L,4,3,3,4,4,3,3,3,4,4,35,1
280,L,3,3,5,3,4,4,3,5,5,3,38,1
281,P,2,2,2,5,4,3,4,4,4,3,33,1
282,P,4,2,5,2,2,2,3,2,5,4,31,0
283,P,2,4,4,4,2,2,2,2,5,2,29,0
284,L,4,2,1,1,6,4,6,5,5,2,36,1
285,P,4,4,3,2,2,1,1,2,4,4,27,0
286,P,5,2,4,5,3,3,3,3,4,2,34,1
287,P,5,2,6,4,5,1,3,1,5,4,36,1
288,L,3,3,2,2,3,4,1,2,3,2,25,0
289,P,3,1,1,1,1,1,2,1,2,1,14,0
290,L,1,2,5,2,3,6,1,2,2,1,25,0
291,P,6,6,4,4,3,3,4,4,4,2,40,1
292,L,3,5,4,3,2,2,4,3,4,4,34,1
293,P,3,3,4,2,3,3,4,3,4,3,32,0
294,L,2,5,2,2,2,2,2,2,3,4,26,0
295,P,5,6,6,6,6,5,6,6,6,6,58,1
296,L,3,6,1,6,5,5,2,5,3,5,41,1
297,P,4,4,4,4,4,4,3,4,4,4,39,1
298,L,6,5,1,2,4,5,4,4,5,5,41,1
299,P,4,5,4,3,4,3,3,3,2,3,34,1
300,P,5,3,4,5,5,4,2,5,5,4,42,1
301,L,3,2,5,3,2,4,3,3,2,3,30,0
302,P,4,5,4,3,1,1,2,4,2,1,27,0
303,P,6,4,5,6,4,3,3,4,5,6,46,1
304,L,3,5,2,3,2,2,4,4,5,5,35,1
305,P,5,2,4,5,4,2,2,5,6,5,40,1
306,L,3,2,3,2,2,2,2,3,4,4,27,0
307,L,2,5,5,5,3,4,3,5,2,2,36,1
308,P,3,4,5,3,2,2,3,2,3,3,30,0
309,P,4,2,1,2,3,2,1,3,3,2,23,0
310,L,4,4,3,2,2,2,2,2,3,3,27,0
311,P,4,5,2,3,3,2,4,2,3,4,32,0
312,P,4,2,3,3,2,2,4,4,5,3,32,0
313,P,5,3,2,4,2,4,4,4,6,3,37,1
314,P,5,3,3,2,2,2,2,4,4,4,31,0
315,P,3,1,6,4,2,5,4,2,4,6,37,1
316,P,4,3,1,2,5,2,1,2,5,5,30,0
317,P,2,4,3,5,3,2,2,3,4,5,33,1
318,L,3,5,5,5,2,5,5,3,2,5,40,1
319,L,4,4,1,6,4,2,6,3,5,6,41,1
320,P,3,2,5,3,1,2,5,6,3,2,32,0
321,P,3,3,4,3,5,4,4,5,4,4,39,1
322,L,3,4,2,3,1,1,3,5,2,3,27,0
323,P,4,5,4,1,1,2,2,1,1,3,24,0
324,L,4,2,5,4,2,3,4,2,4,2,32,1
325,P,5,6,4,5,5,4,5,4,5,4,47,1
326,L,4,2,2,2,2,2,2,3,1,2,22,0
327,L,3,4,1,4,2,1,1,5,3,1,25,0
328,P,3,3,1,3,1,3,2,3,1,3,23,0
329,L,4,4,2,2,3,2,3,2,3,4,29,0
330,L,3,2,3,4,2,2,2,2,4,3,27,0
331,P,5,2,2,6,5,3,4,4,3,2,36,1
332,L,3,5,5,2,3,4,2,2,5,1,32,1
333,L,5,1,4,6,5,2,2,2,5,2,34,1
334,P,6,4,3,2,2,2,1,2,4,6,32,0
335,L,5,4,1,3,4,3,1,1,5,6,33,1
336,L,4,3,5,6,6,2,4,4,3,3,40,1
337,L,2,3,2,5,5,3,2,4,4,2,32,1
338,P,4,2,2,1,1,1,1,2,4,1,19,0
339,L,5,4,6,4,2,4,5,3,5,6,44,1
340,P,2,4,2,3,3,3,4,3,4,5,33,1
