No.,Initial,Gender,Age,Class,Smartphone-usage Duration,Social Media Usage,The Most Frequent Access,1,2,3,4,5,6,7,8,9,10,Total,Result
334,NL,0,13,1,3,1,3,6,4,3,2,2,2,1,2,4,6,32,0
335,DS,1,14,2,2,1,3,5,4,1,3,4,3,1,1,5,6,33,1
336,FZAG,1,14,2,2,1,3,4,3,5,6,6,2,4,4,3,3,40,1
337,A,1,14,2,2,1,2,2,3,2,5,5,3,2,4,4,2,32,1
338,GF,0,15,3,3,1,5,4,2,2,1,1,1,1,2,4,1,19,0
339,I,1,13,1,4,1,2,5,4,6,4,2,4,5,3,5,6,44,1
340,RGA,0,13,1,2,1,3,2,4,2,3,3,3,4,3,4,5,33,1
341,TW,0,14,2,3,1,5,2,4,4,3,2,2,1,2,4,3,27,0
342,F,0,14,2,4,1,3,3,3,4,2,3,3,4,3,4,3,32,0
343,K,0,13,1,1,1,3,3,3,4,4,3,4,2,2,4,5,34,1
344,N,0,14,2,2,1,1,5,5,5,5,5,3,4,3,4,5,44,1
345,Q,0,13,1,3,1,3,4,3,2,3,2,2,2,4,4,3,29,0
346,F,0,13,2,2,1,3,3,4,2,2,2,2,2,2,4,2,25,0
347,BEM,0,15,2,3,1,3,4,3,2,4,3,1,1,3,3,5,29,0
348,MHGS,1,14,2,3,1,2,4,2,2,1,3,4,5,4,4,3,32,1
349,A,0,15,2,3,1,5,5,4,5,2,2,2,2,2,3,5,32,0
350,S,1,12,2,2,1,2,4,4,2,6,3,4,3,3,4,4,37,1
351,M,0,13,1,2,1,3,5,2,5,4,3,2,2,5,5,5,38,1
352,U,0,14,2,3,1,1,3,3,4,3,2,2,2,5,2,5,31,0
353,ER,0,15,3,2,1,3,4,2,4,4,5,4,3,3,3,2,34,1
354,SM,0,15,3,4,1,3,2,2,2,2,2,5,3,3,5,5,31,0
355,SYA,0,14,3,3,1,3,5,3,3,6,4,3,3,2,5,4,38,1
356,NCS,0,14,3,3,1,3,5,3,4,5,4,3,4,4,5,4,41,1
357,NAN,0,15,3,1,1,3,5,5,3,4,2,4,2,2,2,1,30,0
358,DS,0,16,3,4,1,3,4,5,4,6,6,5,5,5,5,5,50,1
359,IAS,0,14,3,1,1,3,4,2,2,4,4,2,5,3,3,4,33,1
360,N,0,15,3,2,1,3,5,2,4,5,5,5,5,5,5,5,46,1
361,HA,0,15,3,2,1,1,5,6,5,5,4,4,4,3,4,3,43,1
362,E,0,15,3,2,1,3,4,3,4,5,4,5,2,3,5,6,41,1
363,Sy,0,15,3,4,1,3,2,2,4,3,3,2,2,1,1,3,23,0
364,MWT,0,15,3,4,1,3,4,6,3,5,3,3,5,5,5,5,44,1
365,FP,1,14,3,3,1,5,3,3,2,2,4,1,1,2,2,3,23,0
366,A,1,12,1,4,1,3,5,5,5,5,5,6,6,6,6,6,55,1
367,Rz,1,12,1,4,1,2,3,4,2,5,4,5,5,1,5,6,40,1
368,S,0,13,2,3,1,3,5,4,6,6,5,3,6,6,6,5,52,1
369,AS,1,13,3,2,1,2,4,2,2,5,4,5,5,2,4,5,38,1
370,KMR,1,13,2,2,1,2,3,4,3,3,2,3,2,4,3,3,30,0
371,F,0,15,3,2,1,3,4,5,4,6,5,4,5,4,5,4,46,1
372,ML,1,14,2,2,1,3,4,4,2,5,3,2,2,5,4,4,35,1
373,S,0,14,3,2,1,3,5,1,1,2,1,1,1,4,4,1,21,0
374,ISA,1,15,2,2,1,3,2,2,2,3,2,1,1,5,2,2,22,0
375,M,1,13,1,3,1,3,3,3,4,3,4,2,2,4,5,5,35,1
376,R,1,12,1,3,1,2,2,2,2,4,3,2,2,2,2,5,26,0
377,ANW,1,15,3,3,1,3,4,3,1,6,5,6,6,2,6,6,45,1
378,LA,0,14,2,2,1,3,3,3,3,5,2,2,2,3,3,5,31,0
379,NB,0,14,2,2,1,3,2,5,5,4,4,4,3,3,2,1,33,1
380,BT,1,13,2,3,1,1,5,5,2,4,3,2,2,3,3,2,31,1
381,V,1,14,2,2,1,3,4,2,2,2,2,2,2,4,4,5,29,0
382,A,0,14,2,2,1,1,3,3,3,4,3,3,2,3,2,3,29,0
383,A,0,14,2,1,1,3,5,5,5,4,4,4,4,4,5,5,45,1
384,M,0,14,2,2,1,3,5,6,5,6,6,4,4,4,5,5,50,1
385,N,0,14,2,4,1,3,2,1,4,5,5,4,3,5,6,5,40,1
386,A,1,15,3,1,1,2,5,3,3,4,3,3,3,3,4,4,35,1
387,D,1,15,2,2,1,2,5,2,4,5,4,2,2,2,4,1,31,1
388,R,0,13,1,4,1,3,5,2,1,5,3,3,2,3,3,5,32,0
389,A,1,15,3,1,1,2,5,3,3,4,3,3,3,3,4,4,35,1
390,HL,0,15,3,4,1,3,6,4,5,6,5,4,5,5,6,4,50,1
391,Dal,0,16,3,2,1,3,4,5,2,6,5,5,5,5,5,5,47,1
392,APR,0,15,3,2,1,5,4,1,4,2,2,2,2,4,5,6,32,0
393,D,0,15,3,2,1,3,4,2,3,6,3,3,3,4,5,2,35,1
394,D,0,15,3,3,1,3,2,1,2,2,3,3,2,4,4,2,25,0
