No.,Initial,Gender,Age,Class,Smartphone-usage Duration,Social Media Usage,The Most Frequent Access,1,2,3,4,5,6,7,8,9,10,Total,Result
77,N,0,15,3,4,1,3,3,2,4,5,2,2,3,5,6,5,37,1
78,D,0,13,1,4,1,2,4,5,3,6,6,6,6,3,6,6,51,1
79,T,0,14,3,1,1,1,1,2,3,2,2,3,5,5,2,5,30,0
80,Z,0,12,2,3,1,2,4,2,3,4,3,4,2,4,4,5,35,1
81,F,1,15,3,2,1,3,4,4,5,4,3,2,3,2,4,4,35,1
82,G,1,13,1,2,1,2,4,2,2,3,3,3,3,2,5,3,30,0
83,R,0,15,3,2,1,3,1,2,2,4,2,2,2,2,4,3,24,0
84,IDHS,0,15,3,3,1,3,4,4,3,2,1,4,3,4,5,4,34,1
85,Ns,0,16,3,3,1,3,5,2,4,5,5,4,3,4,4,3,39,1
86,S,0,11,1,1,0,1,1,1,1,2,2,1,1,1,1,1,12,0
87,INI,0,14,2,3,1,3,6,1,3,5,5,3,3,5,2,1,34,1
88,NJ,0,14,2,4,1,3,4,2,2,5,3,2,3,3,2,3,29,0
89,M,0,12,1,1,1,3,5,2,2,2,2,2,2,2,2,2,23,0
90,F,0,15,3,2,1,1,5,3,3,2,1,2,1,3,4,3,27,0
91,N,1,14,2,2,1,3,5,2,4,5,6,2,3,1,3,5,36,1
92,Am,0,13,1,3,1,3,5,5,3,4,3,4,4,5,5,5,43,1
93,KF,0,13,1,2,1,3,2,2,2,2,2,3,1,2,4,2,22,0
94,H,0,13,1,3,1,3,4,5,1,6,4,3,5,5,6,3,42,1
95,M,0,12,1,3,1,3,6,3,1,6,2,4,2,3,2,3,32,0
96,NA,0,12,1,3,1,3,3,5,4,6,5,3,3,5,4,4,42,1
97,KI,0,12,1,2,1,3,4,5,1,3,2,1,2,2,4,5,29,0
98,NMN,0,13,1,1,1,3,3,1,4,4,4,3,3,4,4,4,34,1
99,N,0,13,1,2,1,1,5,4,4,4,3,3,4,3,5,3,38,1
100,K,1,12,1,1,1,2,5,4,1,4,4,3,4,4,4,2,35,1
101,SW,0,12,1,2,1,3,3,2,1,3,3,2,4,5,4,2,29,0
102,M,0,13,1,2,1,3,1,1,1,2,1,1,1,3,3,1,15,0
103,MVP,1,13,1,4,1,3,2,2,2,1,3,2,5,5,2,5,29,0
104,H,0,13,1,3,1,3,2,4,4,6,6,6,6,4,6,4,48,1
105,KS,0,13,1,2,1,3,4,5,2,4,3,2,3,5,5,2,35,1
106,NR,0,12,1,2,1,3,5,4,4,6,6,6,5,5,6,2,49,1
107,TVE,1,13,1,3,1,3,4,4,2,4,3,3,3,4,4,4,35,1
108,FDI,0,13,1,2,1,3,5,1,3,6,5,5,5,5,4,4,43,1
109,NA,1,12,1,2,1,1,4,2,4,2,3,1,1,1,1,1,20,0
110,AKS,0,12,1,3,1,1,2,2,2,6,4,4,6,6,6,2,40,1
111,S,1,12,1,2,1,2,4,5,2,5,4,2,3,2,4,2,33,1
112,FAL,0,13,1,3,1,3,3,2,2,2,2,3,2,5,4,2,27,0
113,RY,0,12,1,3,1,3,3,1,4,5,4,2,6,4,3,3,35,1
114,R,1,11,1,2,1,2,2,2,1,3,3,4,3,2,3,3,26,0
115,RZN,0,12,1,1,1,3,2,1,6,4,2,2,1,3,3,1,25,0
116,DMD,1,12,1,1,1,3,4,2,5,6,1,1,3,2,1,3,28,0
117,A,0,11,1,2,1,3,2,2,5,5,3,2,4,4,4,5,36,1
118,G,0,13,1,2,1,3,3,1,4,5,3,3,4,4,4,5,36,1
119,F,1,13,1,2,1,2,5,4,1,3,3,2,3,6,5,5,37,1
120,NA,1,13,1,4,1,3,3,4,3,2,1,2,1,5,5,3,29,0
121,AJH,1,13,1,2,1,2,2,2,4,2,2,2,2,4,3,4,27,0
122,K,0,14,3,4,1,3,4,2,2,6,5,5,4,5,4,6,43,1
123,D,0,16,3,3,1,3,5,5,3,5,5,4,3,3,5,2,40,1
124,SAN,0,15,3,3,1,3,4,4,5,1,5,5,5,5,4,4,42,1
125,RR,1,14,2,3,1,3,4,3,2,4,2,2,1,2,4,3,27,0
126,I,0,15,3,2,1,3,3,3,4,3,5,4,4,5,4,4,39,1
127,D,0,16,3,3,1,3,4,4,4,5,4,4,4,3,4,4,40,1
128,R,1,13,1,1,1,2,6,6,1,4,1,5,1,6,4,6,40,1
129,FAR,0,12,1,2,1,3,5,2,1,1,1,1,4,3,1,5,24,0
130,N,0,13,1,3,1,3,5,3,4,5,2,3,2,3,4,4,35,1
131,R,1,13,1,2,1,2,3,1,4,3,4,1,1,1,6,2,26,0
132,T,1,13,2,2,1,2,3,1,2,2,2,2,2,4,4,3,25,0
133,R,0,13,1,1,1,3,3,3,2,5,5,3,2,3,4,4,34,1
134,K,0,13,1,3,1,3,6,2,4,6,3,3,6,3,3,5,41,1
