,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_hidden_layer_sizes,param_learning_rate,param_max_iter,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.013841342926025391,0.010707959681292935,0.001398181915283203,0.0002696508690906979,logistic,4,constant,10,adam,"{'activation': 'logistic', 'hidden_layer_sizes': 4, 'learning_rate': 'constant', 'max_iter': 10, 'solver': 'adam'}",0.4050632911392405,0.379746835443038,0.3924050632911392,0.3924050632911392,0.38461538461538464,0.39084712755598827,0.008590747809196784,7915
1,0.007629776000976562,0.0003166140058847089,0.0012440681457519531,7.370998702223914e-05,logistic,4,constant,10,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': 4, 'learning_rate': 'constant', 'max_iter': 10, 'solver': 'sgd'}",0.620253164556962,0.620253164556962,0.3924050632911392,0.3924050632911392,0.38461538461538464,0.48198636806231737,0.11293019328082211,7861
2,0.014019298553466796,0.00011050472493774258,0.0012128353118896484,2.160709068309726e-05,logistic,4,constant,20,adam,"{'activation': 'logistic', 'hidden_layer_sizes': 4, 'learning_rate': 'constant', 'max_iter': 20, 'solver': 'adam'}",0.620253164556962,0.620253164556962,0.6075949367088608,0.3924050632911392,0.6153846153846154,0.5711781888997078,0.08950634008263125,7514
3,0.011887502670288087,0.001786638535419063,0.0013930320739746094,0.00020991774438057574,logistic,4,constant,20,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': 4, 'learning_rate': 'constant', 'max_iter': 20, 'solver': 'sgd'}",0.620253164556962,0.26582278481012656,0.3924050632911392,0.6075949367088608,0.38461538461538464,0.4541382667964946,0.13802191790880436,7902
4,0.021417951583862303,0.0018436985436248712,0.001227569580078125,4.071346124190037e-05,logistic,4,constant,30,adam,"{'activation': 'logistic', 'hidden_layer_sizes': 4, 'learning_rate': 'constant', 'max_iter': 30, 'solver': 'adam'}",0.379746835443038,0.379746835443038,0.6075949367088608,0.3924050632911392,0.6666666666666666,0.4852320675105485,0.1255088097389246,7853
5,0.018723201751708985,0.0011430145289079475,0.0012729644775390625,0.00011031309982303174,logistic,4,constant,30,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': 4, 'learning_rate': 'constant', 'max_iter': 30, 'solver': 'sgd'}",0.379746835443038,0.620253164556962,0.6075949367088608,0.3924050632911392,0.38461538461538464,0.4769230769230769,0.11200524590987652,7869
6,0.033856534957885744,0.0049609538511558296,0.0013276100158691405,8.442153768117202e-05,logistic,4,constant,40,adam,"{'activation': 'logistic', 'hidden_layer_sizes': 4, 'learning_rate': 'constant', 'max_iter': 40, 'solver': 'adam'}",0.379746835443038,0.5316455696202531,0.6075949367088608,0.6075949367088608,0.38461538461538464,0.5022395326192794,0.10188634688613889,7833
7,0.02173466682434082,0.00674134265713381,0.001233673095703125,4.536789203024262e-05,logistic,4,constant,40,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': 4, 'learning_rate': 'constant', 'max_iter': 40, 'solver': 'sgd'}",0.379746835443038,0.620253164556962,0.6075949367088608,0.3924050632911392,0.6153846153846154,0.5230769230769231,0.11200524590987654,7759
8,0.03719463348388672,0.008933010899347352,0.0012640953063964844,8.885384168928864e-05,logistic,4,constant,50,adam,"{'activation': 'logistic', 'hidden_layer_sizes': 4, 'learning_rate': 'constant', 'max_iter': 50, 'solver': 'adam'}",0.620253164556962,0.379746835443038,0.6075949367088608,0.6075949367088608,0.6153846153846154,0.5661148977604674,0.09330884086812505,7590
9,0.0435854434967041,0.014894021726095384,0.0017247200012207031,0.00015585858534569418,logistic,4,constant,50,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': 4, 'learning_rate': 'constant', 'max_iter': 50, 'solver': 'sgd'}",0.6582278481012658,0.620253164556962,0.6075949367088608,0.6455696202531646,0.6153846153846154,0.6294060370009736,0.01922528362716171,5451
10,0.06402292251586914,0.0027058386051427847,0.0017049312591552734,8.568751792071498e-05,logistic,4,constant,60,adam,"{'activation': 'logistic', 'hidden_layer_sizes': 4, 'learning_rate': 'constant', 'max_iter': 60, 'solver': 'adam'}",0.620253164556962,0.620253164556962,0.6075949367088608,0.6075949367088608,0.6538461538461539,0.6219084712755599,0.016942551119766308,5675
11,0.04531893730163574,0.01643987630034746,0.0015977382659912109,2.449086892848493e-05,logistic,4,constant,60,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': 4, 'learning_rate': 'constant', 'max_iter': 60, 'solver': 'sgd'}",0.620253164556962,0.620253164556962,0.6075949367088608,0.3924050632911392,0.38461538461538464,0.5250243427458617,0.11158629736740876,7749
12,0.08023715019226074,0.013550857027720053,0.0016224384307861328,6.361443763438174e-05,logistic,4,constant,70,adam,"{'activation': 'logistic', 'hidden_layer_sizes': 4, 'learning_rate': 'constant', 'max_iter': 70, 'solver': 'adam'}",0.620253164556962,0.6835443037974683,0.6075949367088608,0.6075949367088608,0.6153846153846154,0.6268743914313535,0.02874275322686673,5505
13,0.038245439529418945,0.02076171882266156,0.0018262863159179688,0.0004255480048397635,logistic,4,constant,70,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': 4, 'learning_rate': 'constant', 'max_iter': 70, 'solver': 'sgd'}",0.620253164556962,0.7468354430379747,0.6075949367088608,0.6075949367088608,0.6153846153846154,0.6395326192794547,0.053867895056357744,4982
